date,regime,actual_next_regime,regime_persisted,prev_close,open,high,low,close,gap_pct,open_vs_cpr,cpr_lower,cpr_upper,pivot,r1,r2,s1,s2,call_strike,put_strike,call_survived,put_survived,strangle_profitable,call_margin,put_margin,predicted_direction,actual_direction,direction_correct,expected_drift_pts,actual_drift_pts,actual_range,vix_implied_range,actual_range_ratio,call_otm_mult_used,put_otm_mult_used,markov_weight_used,vix_range_mult_used
2026-05-27,Bear,Bear,True,23892.5,23880.35,23983.2,23858.25,23907.15,-0.05%,below_cpr,23903.6,23925.8,23914.7,23961.0,24029.4,23846.3,23800.0,24100,23600,True,True,True,+116.8,+258.2,Down,Sideways,False,-49.3,+26.8,124.9,364.2,0.343,1.12,1.18,0.6,1.5
2026-05-29,Bear,Bear,True,23787.35,23902.15,24002.8,23484.75,23547.75,+0.48%,inside_cpr,23822.9,23894.1,23858.5,23931.7,24076.0,23714.2,23641.0,24000,23500,False,False,False,-2.8,-15.2,Down,Down,True,-48.5,-354.4,518.1,336.7,1.539,1.12,1.18,0.6,1.5
2026-06-01,Bear,Bear,True,23411.85,23654.5,23733.7,23357.95,23382.6,+1.04%,strong_above_cpr,23460.2,23556.8,23508.5,23637.0,23862.2,23283.3,23154.7,23650,23050,False,True,False,-83.7,+307.9,Down,Down,True,-48.3,-271.9,375.8,358.2,1.049,1.12,1.18,0.6,1.5
2026-06-02,Bear,Bear,True,23513.45,23229.15,23556.95,23229.15,23483.55,-1.21%,strong_below_cpr,23382.1,23469.7,23425.9,23622.6,23731.8,23316.7,23120.0,23750,23000,True,True,True,+193.1,+229.2,Down,Up,False,-48.8,+254.4,327.8,367.5,0.892,1.12,1.18,0.6,1.5
2026-06-03,Bear,Bear,True,23379.05,23415.95,23459.65,23151.5,23405.6,+0.16%,strong_above_cpr,23299.6,23352.6,23326.1,23500.6,23622.2,23204.5,23029.9,23600,22900,True,True,True,+140.3,+251.5,Down,Sideways,False,-48.1,-10.3,308.2,339.3,0.908,1.12,1.18,0.6,1.5
2026-06-04,Bear,Bear,True,23373.7,23282.45,23465.3,23247.3,23416.55,-0.39%,strong_below_cpr,23354.8,23367.4,23361.1,23474.9,23576.1,23259.9,23146.1,23600,23000,True,True,True,+134.7,+247.3,Down,Up,False,-48.5,+134.1,218.0,359.6,0.606,1.12,1.18,0.55,1.5
2026-06-05,Bear,Bear,True,23336.05,23478.95,23516.35,23282.65,23366.7,+0.61%,strong_above_cpr,23362.5,23415.5,23389.0,23463.4,23590.7,23261.7,23187.4,23600,23000,True,True,True,+83.7,+282.7,Down,Down,True,-48.4,-112.2,233.7,359.0,0.651,1.12,1.18,0.5,1.5
2026-06-08,Bear,Bear,True,23178.9,23080.7,23267.3,23070.15,23123.0,-0.42%,strong_below_cpr,23168.7,23175.5,23172.1,23274.1,23369.3,23076.9,22975.0,23500,22750,True,True,True,+232.7,+320.2,Down,Sideways,False,-48.6,+42.3,197.2,345.8,0.57,1.12,1.18,0.45,1.5
2026-06-09,Bear,Bear,True,23200.15,23259.05,23279.4,23104.45,23242.1,+0.25%,strong_above_cpr,23181.9,23194.1,23188.0,23271.6,23343.0,23116.6,23033.0,23500,22800,True,True,True,+220.6,+304.4,Down,Sideways,False,-48.5,-17.0,175.0,373.3,0.469,1.12,1.18,0.4,1.5
2026-06-10,Bear,Bear,True,23390.5,23233.95,23425.35,23184.6,23214.95,-0.67%,strong_below_cpr,23321.3,23367.4,23344.4,23471.5,23552.4,23263.4,23136.3,23700,22900,True,True,True,+274.7,+284.6,Down,Sideways,False,-49.0,-19.0,240.8,321.4,0.749,1.12,1.18,0.35,1.4
